districtid,monthid,Cases
AP_Anantapur,1,118.0
AP_Anantapur,2,345.0
AP_Anantapur,3,3188.0
AP_Anantapur,4,24445.0
AP_Anantapur,5,21693.0
AP_Anantapur,6,11821.0
AP_Anantapur,7,4493.0
AP_Anantapur,8,911.0
AP_Anantapur,9,535.0
AP_Anantapur,10,146.0
AP_Anantapur,11,162.0
AP_Anantapur,12,2224.0
AP_Anantapur,13,37805.0
AP_Anantapur,14,41980.0
AP_Anantapur,15,5409.0
AP_Anantapur,16,1496.0
AP_Chittoor,1,151.0
AP_Chittoor,2,202.0
AP_Chittoor,3,2721.0
AP_Chittoor,4,18445.0
AP_Chittoor,5,28627.0
AP_Chittoor,6,21579.0
AP_Chittoor,7,10250.0
AP_Chittoor,8,2914.0
AP_Chittoor,9,1810.0
AP_Chittoor,10,510.0
AP_Chittoor,11,861.0
AP_Chittoor,12,8103.0
AP_Chittoor,13,54995.0
AP_Chittoor,14,57810.0
AP_Chittoor,15,16513.0
AP_Chittoor,16,9380.0
AP_East Godavari,1,51.0
AP_East Godavari,2,301.0
AP_East Godavari,3,2763.0
AP_East Godavari,4,35177.0
AP_East Godavari,5,39928.0
AP_East Godavari,6,29668.0
AP_East Godavari,7,12414.0
AP_East Godavari,8,2714.0
AP_East Godavari,9,1011.0
AP_East Godavari,10,333.0
AP_East Godavari,11,286.0
AP_East Godavari,12,2460.0
AP_East Godavari,13,49697.0
AP_East Godavari,14,71663.0
AP_East Godavari,15,22683.0
AP_East Godavari,16,11240.0
AP_Guntur,1,404.0
AP_Guntur,2,219.0
AP_Guntur,3,2733.0
AP_Guntur,4,21584.0
AP_Guntur,5,21064.0
AP_Guntur,6,14953.0
AP_Guntur,7,9833.0
AP_Guntur,8,3178.0
AP_Guntur,9,1275.0
AP_Guntur,10,372.0
AP_Guntur,11,296.0
AP_Guntur,12,7606.0
AP_Guntur,13,46209.0
AP_Guntur,14,27837.0
AP_Guntur,15,7853.0
AP_Guntur,16,5077.0
AP_Krishna,1,351.0
AP_Krishna,2,350.0
AP_Krishna,3,2043.0
AP_Krishna,4,9039.0
AP_Krishna,5,9692.0
