districtid,cases
AP_Anantapur,156771
AP_Chittoor,234871
AP_East Godavari,282389
AP_Guntur,170493
AP_Krishna,111599
AP_Kurnool,123572
AP_Prakasam,131787
AP_S.P.S. Nellore,137357
AP_Srikakulam,121390
AP_Visakhapatnam,153698
AP_Vizianagaram,81776
AP_West Godavari,171987
AP_Y.S.R. Kadapa,111606
AR_Anjaw,994
AR_Changlang,3655
AR_East Kameng,1071
AR_East Siang,2963
AR_Kamle,478
AR_Kra Daadi,260
AR_Kurung Kumey,507
AR_Lepa Rada,792
AR_Lohit,2688
AR_Longding,731
AR_Lower Dibang Valley,2168
AR_Lower Siang,709
AR_Lower Subansiri,2647
AR_Namsai,1969
AR_Pakke Kessang,396
AR_Papum Pare,17303
AR_Shi Yomi,224
AR_Siang,393
AR_Tawang,2299
AR_Tirap,1008
AR_Upper Dibang Valley,290
AR_Upper Siang,896
AR_Upper Subansiri,1914
AR_West Kameng,3207
AR_West Siang,1738
AS_Dibrugarh,0
AS_Udalguri,0
BR_Araria,14963
BR_Arwal,7379
BR_Aurangabad,20010
BR_Banka,7379
BR_Begusarai,27183
BR_Bhagalpur,25827
BR_Bhojpur,10174
BR_Buxar,9248
BR_Darbhanga,10908
BR_East Champaran,19000
BR_Gaya,33940
BR_Gopalganj,16671
BR_Jamui,9413
BR_Jehanabad,10774
BR_Kaimur,4983
BR_Katihar,18129
BR_Khagaria,10057
BR_Kishanganj,10107
BR_Lakhisarai,7771
BR_Madhepura,12523
BR_Madhubani,18339
BR_Munger,15102
BR_Muzaffarpur,31382
BR_Nalanda,23424
BR_Nawada,10345
BR_Patna,146846
BR_Purnia,24413
BR_Rohtas,13962
BR_Saharsa,17592
BR_Samastipur,19988
BR_Saran,23267
BR_Sheikhpura,7690
BR_Sheohar,4397
BR_Sitamarhi,9174
BR_Siwan,15195
BR_Supaul,17205
BR_Vaishali,19809
BR_West Champaran,20886
CH_Chandigarh,62028
CT_Balod,27258
CT_Baloda Bazar,43007
CT_Balrampur,20280
CT_Bametara,19945
CT_Bastar,20953
CT_Bijapur,8269
CT_Bilaspur,65471
CT_Dakshin Bastar Dantewada,10754
CT_Dhamtari,27197
CT_Durg,96652
CT_Gariaband,19673
CT_Gaurela Pendra Marwahi,12006
CT_Janjgir Champa,57461
CT_Jashpur,26950
CT_Kabeerdham,22770
CT_Kondagaon,13072
CT_Korba,54592
CT_Koriya,26923
CT_Mahasamund,31324
CT_Mungeli,23893
CT_Narayanpur,4006
CT_Raigarh,62486
CT_Raipur,157803
CT_Rajnandgaon,56012
CT_Sukma,7975
CT_Surajpur,29016
CT_Surguja,33641
CT_Uttar Bastar Kanker,23542
DN_Dadra and Nagar Haveli,5905
DN_Daman,3535
DN_Diu,1218
GJ_Ahmedabad,238044
GJ_Amreli,10806
GJ_Anand,9624
GJ_Aravalli,5184
GJ_Banaskantha,13631
GJ_Bharuch,11425
GJ_Bhavnagar,21413
GJ_Botad,2218
GJ_Chhota Udaipur,3395
GJ_Dahod,9944
GJ_Dang,864
GJ_Devbhumi Dwarka,4173
GJ_Gandhinagar,20741
GJ_Gir Somnath,8557
GJ_Jamnagar,34951
GJ_Junagadh,20470
GJ_Kheda,10422
GJ_Kutch,12587
GJ_Mahisagar,8192
GJ_Mehsana,24414
GJ_Morbi,6502
GJ_Narmada,5952
GJ_Navsari,7156
GJ_Panchmahal,11770
GJ_Patan,11624
GJ_Porbandar,3477
GJ_Rajkot,57925
GJ_Sabarkantha,9314
GJ_Surat,143502
GJ_Surendranagar,8121
GJ_Tapi,4438
GJ_Vadodara,77924
GJ_Valsad,6244
HP_Bilaspur,13165
HP_Chamba,12993
HP_Hamirpur,14883
HP_Kangra,46992
HP_Kinnaur,3348
HP_Kullu,9321
HP_Lahaul and Spiti,2829
HP_Mandi,28890
HP_Shimla,26157
HP_Sirmaur,15404
HP_Solan,22476
HP_Una,13503
HR_Ambala,30105
HR_Bhiwani,22395
HR_Charkhi Dadri,5069
HR_Faridabad,99808
HR_Fatehabad,17861
HR_Gurugram,180992
HR_Hisar,53979
HR_Jhajjar,18829
HR_Jind,21202
HR_Kaithal,11218
HR_Karnal,40000
HR_Kurukshetra,22116
HR_Mahendragarh,21687
HR_Nuh,5011
HR_Palwal,10984
HR_Panchkula,30658
HR_Panipat,31135
HR_Rewari,20304
HR_Rohtak,25879
HR_Sirsa,29257
HR_Sonipat,47126
HR_Yamunanagar,24571
JH_Bokaro,19415
JH_Chatra,6027
JH_Deoghar,10806
JH_Dhanbad,16519
JH_Dumka,4632
JH_East Singhbhum,51789
JH_Garhwa,6885
JH_Giridih,8959
JH_Godda,5836
JH_Gumla,9894
JH_Hazaribagh,19582
JH_Jamtara,5555
JH_Khunti,7787
JH_Koderma,12871
JH_Latehar,7864
JH_Lohardaga,6691
JH_Pakur,2550
JH_Palamu,12289
JH_Ramgarh,13901
JH_Ranchi,85489
JH_Sahibganj,4818
JH_Saraikela-Kharsawan,7204
JH_Simdega,7191
JH_West Singhbhum,13004
JK_Anantnag,16374
JK_Bandipora,9552
JK_Baramulla,23756
JK_Budgam,23013
JK_Doda,7405
JK_Ganderbal,10013
JK_Jammu,52907
JK_Kathua,9273
JK_Kishtwar,4707
JK_Kulgam,11326
JK_Kupwara,14151
JK_Pulwama,15255
JK_Punch,6289
JK_Rajouri,11022
JK_Ramban,5980
JK_Reasi,6424
JK_Samba,7130
JK_Shopiyan,5589
JK_Srinagar,71794
JK_Udhampur,11365
KA_Bagalkote,35136
KA_Ballari,97511
KA_Belagavi,78762
KA_Bengaluru Rural,61271
KA_Bengaluru Urban,1232597
KA_Bidar,24284
KA_Chamarajanagara,32638
KA_Chikkaballapura,43797
KA_Chikkamagaluru,49244
KA_Chitradurga,36163
KA_Dakshina Kannada,105533
KA_Davanagere,50543
KA_Dharwad,60620
KA_Gadag,26011
KA_Hassan,108159
KA_Haveri,21886
KA_Kalaburagi,61697
KA_Kodagu,34217
KA_Kolar,45970
KA_Koppal,35122
KA_Mandya,72612
KA_Mysuru,174533
KA_Raichur,39905
KA_Ramanagara,24056
KA_Shivamogga,67597
KA_Tumakuru,118577
