districtid,monthid,dose1,dose2
AN_Nicobars,1,21680.0,7912.0
AN_Nicobars,2,34.0,26.0
AN_Nicobars,3,40.0,12.0
AN_Nicobars,4,67.0,17.0
AN_Nicobars,5,25.0,10.0
AN_Nicobars,6,13.0,2.0
AN_Nicobars,7,59.0,18.0
AN_Nicobars,8,163.0,113.0
AN_Nicobars,9,146.0,204.0
AN_Nicobars,10,-291.0,-302.0
AN_Nicobars,11,8.0,14.0
AN_Nicobars,12,53.0,20.0
AN_North and Middle Andaman,1,63240.0,28222.0
AN_North and Middle Andaman,2,77.0,74.0
AN_North and Middle Andaman,3,25.0,88.0
AN_North and Middle Andaman,4,4.0,76.0
AN_North and Middle Andaman,5,21.0,89.0
AN_North and Middle Andaman,6,17.0,18.0
AN_North and Middle Andaman,7,8.0,15.0
AN_North and Middle Andaman,8,4651.0,699.0
AN_North and Middle Andaman,9,5256.0,1853.0
AN_North and Middle Andaman,10,-9884.0,-2457.0
AN_North and Middle Andaman,11,7.0,42.0
AN_North and Middle Andaman,12,1404.0,135.0
AN_South Andaman,1,124817.0,55496.0
AN_South Andaman,2,730.0,418.0
AN_South Andaman,3,918.0,333.0
AN_South Andaman,4,939.0,484.0
AN_South Andaman,5,840.0,300.0
AN_South Andaman,6,846.0,267.0
AN_South Andaman,7,621.0,372.0
AN_South Andaman,8,12874.0,2226.0
AN_South Andaman,9,19341.0,6457.0
AN_South Andaman,10,-30339.0,-7993.0
AN_South Andaman,11,2363.0,389.0
AN_South Andaman,12,2981.0,335.0
AP_Anantapur,1,1174178.0,473503.0
AP_Anantapur,2,27483.0,17023.0
AP_Anantapur,3,6898.0,7394.0
AP_Anantapur,4,3962.0,5661.0
AP_Anantapur,5,2136.0,4971.0
AP_Anantapur,6,35356.0,23048.0
AP_Anantapur,7,9397.0,6231.0
AP_Anantapur,8,104964.0,59515.0
AP_Anantapur,9,279909.0,181617.0
AP_Anantapur,10,-352221.0,-215057.0
AP_Anantapur,11,5981.0,5422.0
AP_Anantapur,12,1171.0,1836.0
AP_Chittoor,1,1306755.0,557850.0
AP_Chittoor,2,40337.0,30614.0
AP_Chittoor,3,6331.0,7453.0
AP_Chittoor,4,17056.0,10348.0
AP_Chittoor,5,7182.0,3627.0
AP_Chittoor,6,54140.0,19413.0
AP_Chittoor,7,11278.0,4789.0
AP_Chittoor,8,122512.0,6770.0
AP_Chittoor,9,363317.0,194182.0
AP_Chittoor,10,-465317.0,-194508.0
AP_Chittoor,11,880.0,130.0
AP_Chittoor,12,95.0,85.0
AP_East Godavari,1,1698827.0,502502.0
AP_East Godavari,2,60145.0,10295.0
AP_East Godavari,3,14364.0,6424.0
AP_East Godavari,4,3409.0,3625.0
AP_East Godavari,5,4460.0,5649.0
AP_East Godavari,6,91048.0,6885.0
AP_East Godavari,7,4067.0,3492.0
AP_East Godavari,8,51170.0,13601.0
AP_East Godavari,9,236778.0,157720.0
AP_East Godavari,10,-284915.0,-165585.0
AP_East Godavari,11,2007.0,1370.0
AP_East Godavari,12,418.0,838.0
AP_Guntur,1,1550759.0,489352.0
AP_Guntur,2,29488.0,13798.0
AP_Guntur,3,8175.0,4035.0
AP_Guntur,4,9474.0,8903.0
AP_Guntur,5,9135.0,6314.0
AP_Guntur,6,47497.0,18742.0
AP_Guntur,7,13910.0,8562.0
