districtid,weekid,dose1,dose2
AN_Nicobars,0,21680.0,7912.0
AN_Nicobars,1,-21680.0,-7912.0
AN_Nicobars,2,206.0,0.0
AN_Nicobars,3,78.0,0.0
AN_Nicobars,4,8365.0,1906.0
AN_Nicobars,5,13065.0,6032.0
AN_Nicobars,6,-21318.0,-7898.0
AN_Nicobars,7,171.0,204.0
AN_Nicobars,8,8082.0,1662.0
AN_Nicobars,9,13105.0,6044.0
AN_Nicobars,10,-20612.0,-7639.0
AN_Nicobars,11,626.0,85.0
AN_Nicobars,12,104.0,2.0
AN_Nicobars,13,19949.0,7569.0
AN_Nicobars,14,-15310.0,-7424.0
AN_Nicobars,15,1292.0,123.0
AN_Nicobars,16,323.0,175.0
AN_Nicobars,17,13720.0,7136.0
AN_Nicobars,18,-13487.0,-6072.0
AN_Nicobars,19,119.0,0.0
AN_Nicobars,20,161.0,0.0
AN_Nicobars,21,0.0,0.0
AN_Nicobars,22,13220.0,6074.0
AN_Nicobars,23,-11947.0,-6072.0
AN_Nicobars,24,3719.0,51.0
AN_Nicobars,25,1403.0,756.0
AN_Nicobars,26,6884.0,5283.0
AN_Nicobars,27,-3149.0,-1024.0
AN_Nicobars,28,1636.0,653.0
AN_Nicobars,29,1048.0,286.0
AN_Nicobars,30,-5372.0,-2726.0
AN_Nicobars,31,6000.0,2924.0
AN_Nicobars,32,49.0,119.0
AN_Nicobars,33,82.0,72.0
AN_Nicobars,34,15.0,13.0
AN_Nicobars,35,-291.0,-309.0
AN_Nicobars,36,-21936.0,-8005.0
AN_Nicobars,37,0.0,0.0
AN_Nicobars,38,359.0,0.0
AN_Nicobars,39,21577.0,8012.0
AN_Nicobars,40,-21936.0,-8012.0
AN_Nicobars,41,0.0,0.0
AN_Nicobars,42,0.0,0.0
AN_Nicobars,43,8720.0,1906.0
AN_Nicobars,44,13224.0,6120.0
AN_Nicobars,47,-17303.0,-7523.0
AN_Nicobars,48,17356.0,7543.0
AN_North and Middle Andaman,0,63240.0,28222.0
AN_North and Middle Andaman,1,-63240.0,-28222.0
AN_North and Middle Andaman,2,390.0,0.0
AN_North and Middle Andaman,3,599.0,0.0
AN_North and Middle Andaman,4,31427.0,3282.0
AN_North and Middle Andaman,5,30901.0,25014.0
AN_North and Middle Andaman,6,-62161.0,-27929.0
AN_North and Middle Andaman,7,280.0,483.0
AN_North and Middle Andaman,8,30980.0,2432.0
AN_North and Middle Andaman,9,30926.0,25102.0
AN_North and Middle Andaman,10,-60826.0,-27409.0
AN_North and Middle Andaman,11,329.0,124.0
AN_North and Middle Andaman,12,50.0,24.0
AN_North and Middle Andaman,13,60451.0,27337.0
AN_North and Middle Andaman,14,-40875.0,-26823.0
AN_North and Middle Andaman,15,5847.0,330.0
AN_North and Middle Andaman,16,1126.0,324.0
AN_North and Middle Andaman,17,33923.0,26258.0
AN_North and Middle Andaman,18,-33317.0,-25281.0
AN_North and Middle Andaman,19,935.0,12.0
AN_North and Middle Andaman,20,1089.0,2.0
AN_North and Middle Andaman,21,250.0,0.0
AN_North and Middle Andaman,22,31060.0,25285.0
AN_North and Middle Andaman,23,-28722.0,-25275.0
AN_North and Middle Andaman,24,5035.0,152.0
AN_North and Middle Andaman,25,5465.0,1040.0
AN_North and Middle Andaman,26,18230.0,24098.0
AN_North and Middle Andaman,27,-11807.0,-2970.0
AN_North and Middle Andaman,28,5142.0,1787.0
AN_North and Middle Andaman,29,6386.0,823.0
AN_North and Middle Andaman,30,-17756.0,-13805.0
AN_North and Middle Andaman,31,22686.0,14864.0
AN_North and Middle Andaman,32,1158.0,886.0
AN_North and Middle Andaman,33,3316.0,863.0
AN_North and Middle Andaman,34,782.0,104.0
AN_North and Middle Andaman,35,-9893.0,-2496.0
AN_North and Middle Andaman,36,-63406.0,-28638.0
AN_North and Middle Andaman,37,0.0,0.0
AN_North and Middle Andaman,38,1112.0,0.0
AN_North and Middle Andaman,39,62303.0,28677.0
AN_North and Middle Andaman,40,-63415.0,-28677.0
AN_North and Middle Andaman,41,0.0,0.0
AN_North and Middle Andaman,42,0.0,0.0
AN_North and Middle Andaman,43,32965.0,3289.0
AN_North and Middle Andaman,44,30457.0,25430.0
AN_North and Middle Andaman,47,-54007.0,-27325.0
AN_North and Middle Andaman,48,55411.0,27460.0
AN_South Andaman,0,124817.0,55496.0
AN_South Andaman,1,-124794.0,-55496.0
AN_South Andaman,2,301.0,0.0
AN_South Andaman,3,463.0,0.0
AN_South Andaman,4,68471.0,10003.0
AN_South Andaman,5,56289.0,45911.0
AN_South Andaman,6,-122392.0,-55375.0
AN_South Andaman,7,871.0,327.0
AN_South Andaman,8,65910.0,9145.0
AN_South Andaman,9,56529.0,46236.0
AN_South Andaman,10,-116874.0,-53922.0
AN_South Andaman,11,1001.0,1260.0
AN_South Andaman,12,188.0,51.0
AN_South Andaman,13,116624.0,53095.0
AN_South Andaman,14,-88935.0,-52343.0
AN_South Andaman,15,12206.0,2276.0
AN_South Andaman,16,5248.0,1085.0
AN_South Andaman,17,72321.0,49282.0
AN_South Andaman,18,-66595.0,-47074.0
AN_South Andaman,19,2493.0,14.0
AN_South Andaman,20,3462.0,8.0
AN_South Andaman,21,520.0,15.0
AN_South Andaman,22,60966.0,47304.0
AN_South Andaman,23,-52462.0,-46991.0
AN_South Andaman,24,13373.0,592.0
AN_South Andaman,25,6273.0,1726.0
AN_South Andaman,26,33437.0,45045.0
AN_South Andaman,27,-19392.0,-13057.0
AN_South Andaman,28,5267.0,6839.0
AN_South Andaman,29,7267.0,3964.0
AN_South Andaman,30,-21007.0,-29709.0
AN_South Andaman,31,40739.0,34189.0
AN_South Andaman,32,4594.0,1863.0
AN_South Andaman,33,12285.0,3729.0
AN_South Andaman,34,2462.0,865.0
AN_South Andaman,35,-31222.0,-8399.0
AN_South Andaman,36,-130704.0,-57954.0
AN_South Andaman,37,0.0,0.0
AN_South Andaman,38,1325.0,0.0
AN_South Andaman,39,130262.0,58360.0
AN_South Andaman,40,-131587.0,-58360.0
AN_South Andaman,41,0.0,0.0
AN_South Andaman,42,0.0,0.0
AN_South Andaman,43,73165.0,10128.0
AN_South Andaman,44,60785.0,48621.0
AN_South Andaman,47,-111434.0,-54933.0
AN_South Andaman,48,114415.0,55268.0
AP_Anantapur,0,1174178.0,473503.0
AP_Anantapur,1,-1173891.0,-473503.0
AP_Anantapur,2,3802.0,0.0
AP_Anantapur,3,3115.0,0.0
AP_Anantapur,4,590890.0,191950.0
AP_Anantapur,5,603567.0,298576.0
AP_Anantapur,6,-1178515.0,-483261.0
AP_Anantapur,7,12487.0,2936.0
AP_Anantapur,8,563315.0,182378.0
AP_Anantapur,9,609611.0,305341.0
AP_Anantapur,10,-1118840.0,-482176.0
AP_Anantapur,11,76134.0,8658.0
AP_Anantapur,12,21581.0,1130.0
AP_Anantapur,13,1025087.0,478049.0
AP_Anantapur,14,-912300.0,-470230.0
AP_Anantapur,15,63009.0,33895.0
AP_Anantapur,16,40468.0,20597.0
AP_Anantapur,17,810959.0,420709.0
AP_Anantapur,18,-769303.0,-336459.0
AP_Anantapur,19,5383.0,5770.0
AP_Anantapur,20,117444.0,7162.0
AP_Anantapur,21,6818.0,2283.0
AP_Anantapur,22,675014.0,344292.0
AP_Anantapur,23,-544705.0,-328278.0
AP_Anantapur,24,122622.0,21682.0
AP_Anantapur,25,59507.0,18900.0
AP_Anantapur,26,371973.0,293927.0
AP_Anantapur,27,-221684.0,-189988.0
AP_Anantapur,28,29879.0,59407.0
AP_Anantapur,29,84350.0,66175.0
AP_Anantapur,30,-207044.0,-219074.0
AP_Anantapur,31,419463.0,342995.0
AP_Anantapur,32,105142.0,52899.0
AP_Anantapur,33,109623.0,77388.0
AP_Anantapur,34,65144.0,51330.0
AP_Anantapur,35,-378323.0,-230834.0
AP_Anantapur,36,-1265960.0,-548129.0
AP_Anantapur,37,0.0,0.0
AP_Anantapur,38,13824.0,0.0
AP_Anantapur,39,1278238.0,563906.0
AP_Anantapur,40,-1292062.0,-563906.0
AP_Anantapur,41,0.0,0.0
AP_Anantapur,42,0.0,0.0
AP_Anantapur,43,660558.0,201568.0
AP_Anantapur,44,637485.0,367760.0
AP_Anantapur,47,-1033842.0,-538571.0
AP_Anantapur,48,1035013.0,540407.0
AP_Chittoor,0,1306755.0,557850.0
AP_Chittoor,1,-1306331.0,-557850.0
AP_Chittoor,2,5540.0,0.0
AP_Chittoor,3,5056.0,0.0
AP_Chittoor,4,691541.0,229161.0
AP_Chittoor,5,644531.0,359303.0
AP_Chittoor,6,-1308139.0,-581463.0
AP_Chittoor,7,11346.0,3951.0
AP_Chittoor,8,656375.0,218623.0
AP_Chittoor,9,646749.0,366342.0
AP_Chittoor,10,-1218634.0,-569183.0
AP_Chittoor,11,75213.0,5476.0
AP_Chittoor,12,21085.0,1590.0
AP_Chittoor,13,1139392.0,572465.0
AP_Chittoor,14,-985214.0,-553920.0
AP_Chittoor,15,56746.0,49413.0
AP_Chittoor,16,54820.0,36876.0
AP_Chittoor,17,880830.0,471258.0
AP_Chittoor,18,-851907.0,-418271.0
AP_Chittoor,19,4244.0,19053.0
AP_Chittoor,20,141915.0,3213.0
AP_Chittoor,21,7322.0,9415.0
AP_Chittoor,22,752566.0,406003.0
AP_Chittoor,23,-602622.0,-391336.0
AP_Chittoor,24,155841.0,30046.0
AP_Chittoor,25,59374.0,15547.0
AP_Chittoor,26,398685.0,350532.0
AP_Chittoor,27,-252554.0,-290102.0
AP_Chittoor,28,19278.0,64035.0
AP_Chittoor,29,79977.0,149687.0
AP_Chittoor,30,-192554.0,-263614.0
AP_Chittoor,31,468365.0,346764.0
AP_Chittoor,32,112345.0,73537.0
AP_Chittoor,33,134644.0,64356.0
AP_Chittoor,34,116328.0,56289.0
AP_Chittoor,35,-467931.0,-195062.0
AP_Chittoor,36,-1460977.0,-639984.0
AP_Chittoor,37,0.0,0.0
AP_Chittoor,38,26969.0,0.0
AP_Chittoor,39,1436622.0,640538.0
AP_Chittoor,40,-1463591.0,-640538.0
AP_Chittoor,41,0.0,0.0
AP_Chittoor,42,0.0,0.0
AP_Chittoor,43,778781.0,234240.0
AP_Chittoor,44,685690.0,406428.0
AP_Chittoor,47,-1139119.0,-594384.0
AP_Chittoor,48,1139214.0,594469.0
AP_East Godavari,0,1698827.0,502502.0
AP_East Godavari,1,-1697815.0,-502502.0
AP_East Godavari,2,11148.0,0.0
AP_East Godavari,3,9677.0,0.0
AP_East Godavari,4,710129.0,252312.0
AP_East Godavari,5,1027006.0,260485.0
AP_East Godavari,6,-1711895.0,-508307.0
AP_East Godavari,7,9612.0,7603.0
AP_East Godavari,8,679279.0,240696.0
AP_East Godavari,9,1037368.0,266432.0
AP_East Godavari,10,-1622209.0,-486955.0
AP_East Godavari,11,61245.0,7423.0
AP_East Godavari,12,16456.0,1566.0
AP_East Godavari,13,1547917.0,481591.0
AP_East Godavari,14,-1391002.0,-455361.0
AP_East Godavari,15,44552.0,61242.0
AP_East Godavari,16,48201.0,36290.0
AP_East Godavari,17,1302709.0,363478.0
AP_East Godavari,18,-1281833.0,-323070.0
AP_East Godavari,19,2976.0,26204.0
AP_East Godavari,20,196451.0,17126.0
AP_East Godavari,21,370.0,5.0
AP_East Godavari,22,1173084.0,286620.0
AP_East Godavari,23,-907117.0,-280036.0
AP_East Godavari,24,191003.0,17470.0
AP_East Godavari,25,89179.0,13082.0
AP_East Godavari,26,631002.0,252976.0
AP_East Godavari,27,-425779.0,-145837.0
AP_East Godavari,28,54724.0,51655.0
AP_East Godavari,29,182868.0,56708.0
AP_East Godavari,30,-362868.0,-193918.0
AP_East Godavari,31,602225.0,244993.0
AP_East Godavari,32,17551.0,32960.0
AP_East Godavari,33,134673.0,97340.0
AP_East Godavari,34,84554.0,27420.0
AP_East Godavari,35,-286337.0,-168400.0
AP_East Godavari,36,-1877931.0,-541793.0
AP_East Godavari,37,0.0,0.0
AP_East Godavari,38,37433.0,0.0
AP_East Godavari,39,1841920.0,544608.0
AP_East Godavari,40,-1879353.0,-544608.0
AP_East Godavari,41,0.0,0.0
AP_East Godavari,42,0.0,0.0
AP_East Godavari,43,893533.0,254707.0
AP_East Godavari,44,987827.0,291271.0
AP_East Godavari,47,-1562462.0,-487637.0
AP_East Godavari,48,1562880.0,488475.0
AP_Guntur,0,1550759.0,489352.0
AP_Guntur,1,-1550456.0,-489352.0
AP_Guntur,2,3174.0,0.0
AP_Guntur,3,5396.0,0.0
AP_Guntur,4,684853.0,216786.0
AP_Guntur,5,886521.0,286364.0
AP_Guntur,6,-1544183.0,-496169.0
AP_Guntur,7,13238.0,3060.0
AP_Guntur,8,646301.0,207071.0
AP_Guntur,9,892819.0,290073.0
AP_Guntur,10,-1478958.0,-480988.0
AP_Guntur,11,51973.0,7934.0
AP_Guntur,12,17053.0,2672.0
AP_Guntur,13,1419406.0,479285.0
AP_Guntur,14,-1256920.0,-461077.0
AP_Guntur,15,61606.0,42091.0
AP_Guntur,16,58511.0,20663.0
AP_Guntur,17,1145938.0,404637.0
AP_Guntur,18,-1107671.0,-349925.0
AP_Guntur,19,9247.0,15162.0
AP_Guntur,20,152440.0,22906.0
AP_Guntur,21,16187.0,1713.0
AP_Guntur,22,977294.0,328886.0
AP_Guntur,23,-765234.0,-304986.0
AP_Guntur,24,182062.0,28971.0
AP_Guntur,25,69604.0,16280.0
AP_Guntur,26,527478.0,268297.0
AP_Guntur,27,-306406.0,-182330.0
AP_Guntur,28,38329.0,56945.0
AP_Guntur,29,126988.0,64637.0
AP_Guntur,30,-301809.0,-187123.0
AP_Guntur,31,532995.0,290606.0
AP_Guntur,32,78669.0,47165.0
AP_Guntur,33,102134.0,66375.0
AP_Guntur,34,103638.0,57345.0
AP_Guntur,35,-363184.0,-205030.0
AP_Guntur,36,-1679792.0,-558296.0
AP_Guntur,37,0.0,0.0
AP_Guntur,38,19419.0,0.0
AP_Guntur,39,1673010.0,564197.0
AP_Guntur,40,-1692429.0,-564197.0
AP_Guntur,41,0.0,0.0
AP_Guntur,42,0.0,0.0
AP_Guntur,43,804556.0,226331.0
AP_Guntur,44,900635.0,342767.0
AP_Guntur,47,-1423629.0,-519187.0
AP_Guntur,48,1428062.0,521623.0
AP_Krishna,0,1558723.0,508371.0
AP_Krishna,1,-1558579.0,-508371.0
AP_Krishna,2,4393.0,0.0
AP_Krishna,3,5503.0,0.0
AP_Krishna,4,700111.0,248363.0
AP_Krishna,5,860552.0,263231.0
AP_Krishna,6,-1540932.0,-504508.0
AP_Krishna,7,10344.0,4324.0
AP_Krishna,8,676994.0,237231.0
AP_Krishna,9,860905.0,265630.0
AP_Krishna,10,-1463423.0,-488659.0
AP_Krishna,11,51408.0,6327.0
AP_Krishna,12,13426.0,2226.0
AP_Krishna,13,1420738.0,485959.0
AP_Krishna,14,-1236758.0,-472815.0
AP_Krishna,15,50683.0,49445.0
AP_Krishna,16,54753.0,33229.0
AP_Krishna,17,1150356.0,395181.0
AP_Krishna,18,-1120994.0,-312783.0
AP_Krishna,19,7482.0,20487.0
AP_Krishna,20,168626.0,11410.0
AP_Krishna,21,1321.0,1987.0
AP_Krishna,22,994577.0,287242.0
AP_Krishna,23,-724563.0,-274379.0
AP_Krishna,24,204267.0,27920.0
AP_Krishna,25,45529.0,23967.0
AP_Krishna,26,490424.0,225797.0
AP_Krishna,27,-366785.0,-125252.0
AP_Krishna,28,85962.0,47349.0
AP_Krishna,29,127294.0,45350.0
AP_Krishna,30,-255799.0,-163520.0
AP_Krishna,31,479723.0,216850.0
AP_Krishna,32,46365.0,53761.0
AP_Krishna,33,133167.0,74516.0
AP_Krishna,34,152329.0,64078.0
AP_Krishna,35,-394022.0,-211090.0
AP_Krishna,36,-1694100.0,-538854.0
AP_Krishna,37,0.0,0.0
AP_Krishna,38,21510.0,0.0
AP_Krishna,39,1686451.0,542621.0
AP_Krishna,40,-1707961.0,-542621.0
AP_Krishna,41,0.0,0.0
AP_Krishna,42,0.0,0.0
AP_Krishna,43,884557.0,254497.0
AP_Krishna,44,829294.0,290875.0
AP_Krishna,47,-1412418.0,-502199.0
AP_Krishna,48,1419632.0,504624.0
AP_Kurnool,0,1093323.0,401060.0
AP_Kurnool,1,-1093109.0,-401060.0
AP_Kurnool,2,3572.0,0.0
AP_Kurnool,3,3057.0,0.0
AP_Kurnool,4,533194.0,175936.0
AP_Kurnool,5,566553.0,241236.0
AP_Kurnool,6,-1079027.0,-411632.0
AP_Kurnool,7,6973.0,2790.0
AP_Kurnool,8,509003.0,168723.0
AP_Kurnool,9,568675.0,246478.0
AP_Kurnool,10,-1029529.0,-403940.0
AP_Kurnool,11,59180.0,3822.0
AP_Kurnool,12,18613.0,1570.0
AP_Kurnool,13,955546.0,403439.0
AP_Kurnool,14,-823105.0,-392278.0
AP_Kurnool,15,37187.0,41220.0
AP_Kurnool,16,36388.0,23487.0
AP_Kurnool,17,752493.0,332568.0
AP_Kurnool,18,-729221.0,-279537.0
AP_Kurnool,19,9545.0,14680.0
AP_Kurnool,20,108733.0,4713.0
AP_Kurnool,21,16713.0,1896.0
AP_Kurnool,22,597238.0,260156.0
AP_Kurnool,23,-462727.0,-255654.0
AP_Kurnool,24,119318.0,11516.0
AP_Kurnool,25,44226.0,10861.0
AP_Kurnool,26,331003.0,250167.0
AP_Kurnool,27,-176535.0,-172910.0
AP_Kurnool,28,29049.0,41838.0
AP_Kurnool,29,75143.0,79479.0
AP_Kurnool,30,-206575.0,-187499.0
AP_Kurnool,31,367795.0,279503.0
AP_Kurnool,32,80463.0,47426.0
AP_Kurnool,33,81949.0,67845.0
AP_Kurnool,34,108852.0,33258.0
AP_Kurnool,35,-338488.0,-176027.0
AP_Kurnool,36,-1175468.0,-465130.0
AP_Kurnool,37,0.0,0.0
AP_Kurnool,38,19717.0,0.0
AP_Kurnool,39,1162324.0,476527.0
AP_Kurnool,40,-1182041.0,-476527.0
AP_Kurnool,41,0.0,0.0
AP_Kurnool,42,0.0,0.0
AP_Kurnool,43,612782.0,178861.0
AP_Kurnool,44,575120.0,300038.0
AP_Kurnool,47,-930317.0,-446126.0
AP_Kurnool,48,932398.0,446997.0
AP_Prakasam,0,1113546.0,430259.0
AP_Prakasam,1,-1113344.0,-430259.0
AP_Prakasam,2,6383.0,0.0
AP_Prakasam,3,2615.0,0.0
AP_Prakasam,4,522995.0,187387.0
AP_Prakasam,5,592057.0,251333.0
AP_Prakasam,6,-1098945.0,-435077.0
AP_Prakasam,7,6550.0,2843.0
AP_Prakasam,8,519440.0,182948.0
AP_Prakasam,9,578657.0,254083.0
AP_Prakasam,10,-1055943.0,-425937.0
AP_Prakasam,11,44152.0,3720.0
AP_Prakasam,12,27500.0,2173.0
AP_Prakasam,13,988267.0,423882.0
AP_Prakasam,14,-860798.0,-412675.0
AP_Prakasam,15,37395.0,32415.0
AP_Prakasam,16,38100.0,29987.0
AP_Prakasam,17,790288.0,356379.0
AP_Prakasam,18,-763062.0,-310979.0
AP_Prakasam,19,17266.0,26542.0
AP_Prakasam,20,114760.0,7894.0
AP_Prakasam,21,4002.0,6672.0
AP_Prakasam,22,636509.0,277272.0
AP_Prakasam,23,-481691.0,-265141.0
AP_Prakasam,24,157027.0,17632.0
AP_Prakasam,25,47203.0,9643.0
AP_Prakasam,26,288155.0,246602.0
AP_Prakasam,27,-135988.0,-195372.0
AP_Prakasam,28,19397.0,31970.0
AP_Prakasam,29,52507.0,120999.0
AP_Prakasam,30,-173241.0,-187499.0
AP_Prakasam,31,310153.0,276095.0
AP_Prakasam,32,31120.0,31381.0
AP_Prakasam,33,77530.0,79329.0
AP_Prakasam,34,81821.0,54560.0
AP_Prakasam,35,-246948.0,-201049.0
AP_Prakasam,36,-1175435.0,-480012.0
AP_Prakasam,37,0.0,0.0
AP_Prakasam,38,20146.0,0.0
AP_Prakasam,39,1174751.0,497477.0
AP_Prakasam,40,-1194897.0,-497477.0
AP_Prakasam,41,0.0,0.0
AP_Prakasam,42,0.0,0.0
AP_Prakasam,43,640234.0,194437.0
AP_Prakasam,44,567729.0,310132.0
AP_Prakasam,47,-982410.0,-473447.0
AP_Prakasam,48,985548.0,476122.0
AP_S.P.S. Nellore,0,1061579.0,488031.0
AP_S.P.S. Nellore,1,-1061302.0,-488031.0
AP_S.P.S. Nellore,2,5659.0,0.0
AP_S.P.S. Nellore,3,6518.0,0.0
AP_S.P.S. Nellore,4,527602.0,192121.0
AP_S.P.S. Nellore,5,526361.0,297524.0
AP_S.P.S. Nellore,6,-1026048.0,-479997.0
AP_S.P.S. Nellore,7,8471.0,4880.0
AP_S.P.S. Nellore,8,495241.0,177907.0
AP_S.P.S. Nellore,9,529627.0,302366.0
AP_S.P.S. Nellore,10,-964562.0,-461293.0
AP_S.P.S. Nellore,11,44788.0,7970.0
AP_S.P.S. Nellore,12,18564.0,2729.0
AP_S.P.S. Nellore,13,906917.0,453090.0
AP_S.P.S. Nellore,14,-794432.0,-438947.0
AP_S.P.S. Nellore,15,30394.0,43730.0
AP_S.P.S. Nellore,16,41651.0,24660.0
AP_S.P.S. Nellore,17,740660.0,378582.0
AP_S.P.S. Nellore,18,-705051.0,-326353.0
AP_S.P.S. Nellore,19,6682.0,5596.0
AP_S.P.S. Nellore,20,114953.0,5796.0
AP_S.P.S. Nellore,21,1894.0,699.0
AP_S.P.S. Nellore,22,591830.0,316967.0
AP_S.P.S. Nellore,23,-448815.0,-305067.0
AP_S.P.S. Nellore,24,122740.0,24697.0
AP_S.P.S. Nellore,25,33590.0,28016.0
AP_S.P.S. Nellore,26,295788.0,253578.0
AP_S.P.S. Nellore,27,-182161.0,-139649.0
AP_S.P.S. Nellore,28,13419.0,37921.0
AP_S.P.S. Nellore,29,97356.0,77812.0
AP_S.P.S. Nellore,30,-190436.0,-200123.0
AP_S.P.S. Nellore,31,308599.0,243477.0
AP_S.P.S. Nellore,32,31308.0,9338.0
AP_S.P.S. Nellore,33,85654.0,96194.0
AP_S.P.S. Nellore,34,116000.0,36499.0
AP_S.P.S. Nellore,35,-271342.0,-154072.0
AP_S.P.S. Nellore,36,-1119696.0,-516648.0
AP_S.P.S. Nellore,37,0.0,0.0
AP_S.P.S. Nellore,38,30231.0,0.0
AP_S.P.S. Nellore,39,1092690.0,517716.0
AP_S.P.S. Nellore,40,-1122921.0,-517716.0
AP_S.P.S. Nellore,41,0.0,0.0
AP_S.P.S. Nellore,42,0.0,0.0
AP_S.P.S. Nellore,43,625807.0,200555.0
AP_S.P.S. Nellore,44,499764.0,317815.0
AP_S.P.S. Nellore,47,-887354.0,-465165.0
AP_S.P.S. Nellore,48,903868.0,470605.0
AP_Srikakulam,0,943378.0,301985.0
AP_Srikakulam,1,-943213.0,-301985.0
AP_Srikakulam,2,3703.0,0.0
AP_Srikakulam,3,4355.0,0.0
AP_Srikakulam,4,456556.0,126363.0
AP_Srikakulam,5,501621.0,183391.0
AP_Srikakulam,6,-934134.0,-301627.0
AP_Srikakulam,7,4330.0,2380.0
AP_Srikakulam,8,432623.0,116104.0
AP_Srikakulam,9,517584.0,190459.0
AP_Srikakulam,10,-907358.0,-294112.0
AP_Srikakulam,11,24670.0,2067.0
AP_Srikakulam,12,18226.0,1169.0
AP_Srikakulam,13,872685.0,294439.0
AP_Srikakulam,14,-757124.0,-282260.0
AP_Srikakulam,15,29335.0,21652.0
AP_Srikakulam,16,34515.0,13170.0
AP_Srikakulam,17,697931.0,249127.0
AP_Srikakulam,18,-682256.0,-207505.0
AP_Srikakulam,19,2515.0,9004.0
AP_Srikakulam,20,117288.0,1581.0
AP_Srikakulam,21,3872.0,0.0
AP_Srikakulam,22,563161.0,198519.0
AP_Srikakulam,23,-402390.0,-191677.0
AP_Srikakulam,24,134026.0,21196.0
AP_Srikakulam,25,32113.0,14458.0
AP_Srikakulam,26,241312.0,157436.0
AP_Srikakulam,27,-151337.0,-92509.0
AP_Srikakulam,28,14540.0,25097.0
AP_Srikakulam,29,58995.0,43982.0
AP_Srikakulam,30,-123253.0,-106556.0
AP_Srikakulam,31,220300.0,141624.0
AP_Srikakulam,32,9529.0,10111.0
AP_Srikakulam,33,113324.0,54138.0
AP_Srikakulam,34,69520.0,21352.0
AP_Srikakulam,35,-209416.0,-95944.0
AP_Srikakulam,36,-1011526.0,-326629.0
AP_Srikakulam,37,0.0,0.0
AP_Srikakulam,38,24337.0,0.0
AP_Srikakulam,39,994648.0,330517.0
AP_Srikakulam,40,-1018985.0,-330517.0
AP_Srikakulam,41,0.0,0.0
AP_Srikakulam,42,0.0,0.0
AP_Srikakulam,43,537032.0,127218.0
AP_Srikakulam,44,486095.0,206276.0
AP_Srikakulam,47,-826501.0,-297978.0
AP_Srikakulam,48,827637.0,299257.0
AP_Visakhapatnam,0,1599007.0,486814.0
AP_Visakhapatnam,1,-1598480.0,-486814.0
AP_Visakhapatnam,2,6006.0,0.0
AP_Visakhapatnam,3,8039.0,0.0
AP_Visakhapatnam,4,704604.0,225033.0
AP_Visakhapatnam,5,888240.0,281945.0
AP_Visakhapatnam,6,-1570879.0,-498625.0
AP_Visakhapatnam,7,15229.0,6592.0
AP_Visakhapatnam,8,674783.0,210242.0
AP_Visakhapatnam,9,887291.0,288876.0
AP_Visakhapatnam,10,-1501236.0,-486647.0
AP_Visakhapatnam,11,46378.0,7258.0
AP_Visakhapatnam,12,33987.0,2453.0
AP_Visakhapatnam,13,1429528.0,482059.0
AP_Visakhapatnam,14,-1249580.0,-461088.0
AP_Visakhapatnam,15,43085.0,47116.0
AP_Visakhapatnam,16,52810.0,23911.0
AP_Visakhapatnam,17,1161167.0,405192.0
AP_Visakhapatnam,18,-1118280.0,-346790.0
AP_Visakhapatnam,19,7184.0,21754.0
AP_Visakhapatnam,20,146523.0,10452.0
AP_Visakhapatnam,21,9865.0,2610.0
AP_Visakhapatnam,22,1025461.0,348197.0
AP_Visakhapatnam,23,-692664.0,-334035.0
AP_Visakhapatnam,24,192034.0,21423.0
AP_Visakhapatnam,25,74495.0,27638.0
AP_Visakhapatnam,26,435826.0,288720.0
AP_Visakhapatnam,27,-265707.0,-208878.0
AP_Visakhapatnam,28,32270.0,67771.0
AP_Visakhapatnam,29,104558.0,53137.0
AP_Visakhapatnam,30,-228815.0,-172211.0
