State_Code,monthid,dose1,dose2
AN,1,209737.0,91630.0
AN,2,841.0,518.0
AN,3,983.0,433.0
AN,4,1010.0,577.0
AN,5,886.0,399.0
AN,6,876.0,287.0
AN,7,688.0,405.0
AN,8,17688.0,3038.0
AN,9,24743.0,8514.0
AN,10,-40514.0,-10752.0
AN,11,2378.0,445.0
AN,12,4438.0,490.0
AP,1,16301072.0,5586138.0
AP,2,266628.0,145095.0
AP,3,108451.0,68755.0
AP,4,110095.0,64026.0
AP,5,102954.0,69120.0
AP,6,430352.0,137617.0
AP,7,157571.0,69345.0
AP,8,1039018.0,345116.0
AP,9,3464980.0,2104491.0
AP,10,-4179341.0,-2293235.0
AP,11,92581.0,42047.0
AP,12,80072.0,24875.0
AR,1,9187280813.0,248100011.0
AR,2,16903082.0,1311680.0
AR,3,37701957.0,2051151.0
AR,4,23902305.0,1801350.0
AR,5,19302242.0,2021490.0
AR,6,20602536.0,1681020.0
AR,7,22701810.0,2190782.0
AR,8,173411220.0,26963658.0
AR,9,431021154.0,3780681092.0
AR,10,-534726596.0,-3798299793.0
AR,11,28001558.0,4872697.0
AR,12,19601700.0,4532597.0
AS,1,8877144.0,1948996.0
AS,2,264643.0,38456.0
AS,3,263607.0,36408.0
AS,4,130257.0,21886.0
AS,5,229356.0,35797.0
AS,6,211141.0,30135.0
AS,7,213069.0,38519.0
AS,8,1240836.0,292703.0
AS,9,2991704.0,684634.0
AS,10,-3724912.0,-867975.0
AS,11,76025.0,31278.0
AS,12,146479.0,45333.0
BR,1,20779993.0,3919846.0
BR,2,145278.0,41829.0
BR,3,75391.0,35620.0
BR,4,321095.0,82703.0
BR,5,646130.0,126297.0
BR,6,531419.0,87923.0
BR,7,446213.0,105447.0
BR,8,2221859.0,459602.0
BR,9,6499333.0,1409469.0
BR,10,-8174312.0,-1748713.0
BR,11,265753.0,59757.0
BR,12,492917.0,102760.0
CH,1,646859.0,197578.0
CH,2,5032.0,2749.0
CH,3,8011.0,3102.0
CH,4,4607.0,2662.0
CH,5,4775.0,2957.0
CH,6,10610.0,3854.0
CH,7,6715.0,5329.0
CH,8,46970.0,26120.0
CH,9,73488.0,64037.0
CH,10,-102034.0,-81574.0
CH,11,6730.0,3484.0
CH,12,5694.0,3817.0
CT,1,8748715.0,2333090.0
CT,2,26416.0,18916.0
CT,3,33167.0,21061.0
CT,4,21097.0,21423.0
CT,5,87738.0,70145.0
CT,6,152266.0,59682.0
CT,7,53645.0,38499.0
CT,8,260467.0,213065.0
CT,9,624097.0,464371.0
CT,10,-806493.0,-630784.0
CT,11,45259.0,29165.0
CT,12,54990.0,55501.0
DL,1,7433097.0,2671689.0
DL,2,48904.0,45022.0
DL,3,51334.0,45343.0
DL,4,45971.0,40273.0
DL,5,51001.0,39145.0
DL,6,53764.0,34134.0
DL,7,60190.0,59861.0
DL,8,506741.0,329534.0
DL,9,1406496.0,596076.0
DL,10,-1737569.0,-803872.0
DL,11,82482.0,44375.0
DL,12,83611.0,50095.0
DN,1,557791.0,74962.0
DN,2,3803.0,405.0
DN,3,3898.0,359.0
DN,4,3236.0,389.0
DN,5,3529.0,607.0
DN,6,3898.0,719.0
DN,7,4132.0,1471.0
DN,8,18093.0,11509.0
DN,9,18802.0,50726.0
DN,10,-29540.0,-59229.0
DN,11,2871.0,1161.0
DN,12,2694.0,1685.0
GA,1,1061058.0,274265.0
GA,2,4954.0,2885.0
GA,3,4416.0,2739.0
GA,4,3544.0,2584.0
GA,5,2984.0,2767.0
GA,6,4343.0,3651.0
GA,7,6086.0,6168.0
GA,8,25430.0,34850.0
GA,9,53395.0,90447.0
GA,10,-68207.0,-112992.0
GA,11,3628.0,4591.0
GA,12,2652.0,3952.0
GJ,1,23578445776026.0,922610673792.0
GJ,2,278599216343.0,6897364306.0
GJ,3,278420209428.0,6811564466.0
GJ,4,6981008128.0,1061303337.0
GJ,5,426148361688.0,124491596805.0
GJ,6,514335406266.0,12134789248.0
GJ,7,478252384647.0,11998884593.0
GJ,8,2671923217760.0,2011821831263.0
GJ,9,3789302702984.0,1005686903181.0
GJ,10,-5450620082222.0,-2976289598197.0
GJ,11,76489101054.0,26988265261.0
GJ,12,599886447560.0,15670877436.0
HP,1,3968690.0,1273554.0
HP,2,41385.0,17984.0
HP,3,38818.0,16085.0
HP,4,34919.0,14093.0
HP,5,31765.0,12454.0
HP,6,39448.0,13636.0
HP,7,35194.0,13152.0
HP,8,760570.0,152737.0
HP,9,542154.0,235417.0
HP,10,-1159738.0,-342450.0
HP,11,114413.0,22426.0
HP,12,150680.0,29160.0
HR,1,9408863.0,2537759.0
HR,2,132734.0,64507.0
HR,3,110831.0,64856.0
HR,4,68692.0,45118.0
HR,5,71788.0,43260.0
HR,6,73562.0,32460.0
HR,7,85851.0,54523.0
HR,8,539785.0,349022.0
HR,9,1761996.0,932788.0
HR,10,-2105934.0,-1150112.0
HR,11,42643.0,29004.0
HR,12,86337.0,57440.0
JH,1,7883243.0,1834945.0
JH,2,52027.0,22519.0
JH,3,56833.0,24131.0
JH,4,48037.0,16755.0
JH,5,49498.0,17301.0
JH,6,69965.0,18614.0
JH,7,98090.0,26273.0
JH,8,540228.0,174393.0
JH,9,1536033.0,478774.0
JH,10,-1890127.0,-595969.0
JH,11,114888.0,31760.0
JH,12,79751.0,29689.0
JK,1,4980566.0,1324148.0
JK,2,48608.0,31708.0
