districtid,wave1 - weekid,wave2 - weekid,wave1 - monthid,wave2 - monthid
AN_Unknown,16,53,4,13
AP_Anantapur,14,55,4,14
AP_Chittoor,19,56,5,14
AP_East Godavari,20,56,5,14
AP_Foreign Evacuees,8,41,3,10
AP_Guntur,14,55,4,13
AP_Krishna,20,56,6,14
AP_Kurnool,15,54,4,13
AP_Other State,8,41,3,10
AP_Prakasam,19,54,5,14
AP_S.P.S. Nellore,19,54,5,13
AP_Srikakulam,18,53,5,13
AP_Visakhapatnam,14,54,4,13
AP_Vizianagaram,19,54,5,13
AP_West Godavari,20,56,5,14
AP_Y.S.R. Kadapa,19,55,5,14
AR_Anjaw,16,58,6,14
AR_Capital Complex,5,41,2,10
AR_Changlang,19,57,6,14
AR_East Kameng,15,58,4,14
AR_East Siang,20,63,6,15
AR_Kamle,17,63,6,16
AR_Kra Daadi,17,59,6,14
AR_Kurung Kumey,20,61,6,15
AR_Lepa Rada,19,65,6,16
AR_Lohit,15,65,7,15
AR_Longding,19,63,6,15
AR_Lower Dibang Valley,19,53,7,13
AR_Lower Siang,18,67,6,16
AR_Lower Subansiri,20,67,6,16
AR_Namsai,15,57,4,14
AR_Pakke Kessang,18,62,6,15
AR_Papum Pare,20,65,6,16
AR_Shi Yomi,19,63,7,16
AR_Siang,18,64,7,16
AR_Tawang,19,57,5,14
AR_Tirap,19,65,6,16
AR_Upper Dibang Valley,16,57,6,14
AR_Upper Siang,18,56,7,14
AR_Upper Subansiri,17,62,6,15
AR_West Kameng,16,63,5,15
AR_West Siang,19,65,6,16
AS_Dibrugarh,14,41,4,10
AS_Udalguri,11,41,3,10
AS_Unknown,19,56,5,14
BR_Araria,16,54,5,13
BR_Arwal,16,54,4,13
BR_Aurangabad,16,52,5,13
BR_Banka,15,53,4,13
BR_Begusarai,16,53,4,13
BR_Bhagalpur,15,52,4,13
BR_Bhojpur,15,52,4,13
BR_Buxar,15,52,4,13
BR_Darbhanga,16,53,4,13
BR_East Champaran,16,54,4,13
BR_Gaya,16,53,4,13
BR_Gopalganj,15,53,5,13
BR_Jamui,14,54,4,13
BR_Jehanabad,16,52,4,13
BR_Kaimur,16,52,4,13
BR_Katihar,15,54,4,13
BR_Khagaria,14,53,4,13
BR_Kishanganj,16,55,5,13
BR_Lakhisarai,16,53,5,13
BR_Madhepura,16,53,5,13
BR_Madhubani,16,54,5,13
BR_Munger,15,54,4,13
BR_Muzaffarpur,17,54,5,13
BR_Nalanda,14,53,4,13
BR_Nawada,14,53,4,13
BR_Patna,15,54,4,13
BR_Purnia,16,53,5,13
BR_Rohtas,15,53,4,13
BR_Saharsa,16,53,5,13
BR_Samastipur,15,54,4,13
BR_Saran,16,52,4,13
BR_Sheikhpura,15,54,4,13
BR_Sheohar,16,54,4,13
BR_Sitamarhi,16,53,4,13
BR_Siwan,12,53,4,13
BR_Supaul,15,53,6,13
BR_Vaishali,15,54,4,13
BR_West Champaran,16,53,4,13
CH_Chandigarh,20,54,5,13
CT_Balod,19,52,8,13
CT_Baloda Bazar,20,53,6,13
CT_Balrampur,20,54,6,13
CT_Bametara,20,50,7,13
CT_Bastar,20,52,6,13
CT_Bijapur,20,58,6,14
CT_Bilaspur,20,52,6,13
CT_Dakshin Bastar Dantewada,20,54,6,13
CT_Dhamtari,20,52,6,13
CT_Durg,19,50,6,13
CT_Gariaband,20,51,6,13
CT_Gaurela Pendra Marwahi,20,54,6,13
CT_Janjgir Champa,20,54,7,13
CT_Jashpur,19,54,9,13
CT_Kabeerdham,20,53,6,13
CT_Kondagaon,20,54,7,13
CT_Korba,20,53,7,13
CT_Koriya,20,54,6,13
CT_Mahasamund,20,53,8,13
