districtid,dose1,dose2
AN_Nicobars,21997.0,8046.0
AN_North and Middle Andaman,64826.0,28854.0
AN_South Andaman,136931.0,59084.0
AP_Anantapur,1299214.0,571164.0
AP_Chittoor,1464566.0,640753.0
AP_East Godavari,1881778.0,546816.0
AP_Guntur,1709624.0,571534.0
AP_Krishna,1721065.0,547797.0
AP_Kurnool,1189983.0,479770.0
AP_Prakasam,1211101.0,507244.0
AP_S.P.S. Nellore,1142085.0,523810.0
AP_Srikakulam,1024263.0,334773.0
AP_Visakhapatnam,1787851.0,603149.0
AP_Vizianagaram,891923.0,216682.0
AP_West Godavari,1614683.0,427762.0
AP_Y.S.R. Kadapa,1036297.0,392136.0
AR_Anjaw,10920.0,2529.0
AR_Changlang,75400.0,16493.0
AR_East Kameng,20257.0,5972.0
AR_East Siang,51273.0,15895.0
AR_Kamle,6121.0,1412.0
AR_Kra Daadi,5828.0,1625.0
AR_Kurung Kumey,8574.0,2837.0
AR_Lepa Rada,12953.0,4903.0
AR_Lohit,27785.0,6566.0
AR_Longding,17955.0,3219.0
AR_Lower Dibang Valley,29572.0,8012.0
AR_Lower Siang,15566.0,4506.0
AR_Lower Subansiri,24740.0,7858.0
AR_Namsai,57616.0,12282.0
AR_Pakke Kessang,7585.0,2965.0
AR_Papum Pare,9445128090.0,277749565.0
AR_Shi Yomi,6712.0,2213.0
AR_Siang,13867.0,4173.0
AR_Tawang,27653.0,9069.0
AR_Tirap,28938.0,5453.0
AR_Upper Dibang Valley,3909.0,1211.0
AR_Upper Siang,17417.0,6264.0
AR_Upper Subansiri,22943.0,7057.0
AR_West Kameng,49593.0,13463.0
AR_West Siang,32514.0,12193.0
AS_Baksa,248230.0,42096.0
AS_Barpeta,480917.0,129694.0
AS_Biswanath,331658.0,48942.0
AS_Bongaigaon,254783.0,54939.0
AS_Cachar,468222.0,97153.0
AS_Charaideo,189001.0,30154.0
AS_Chirang,146569.0,32078.0
AS_Darrang,263630.0,55307.0
AS_Dhemaji,262153.0,51486.0
AS_Dhubri,311362.0,71593.0
AS_Dibrugarh,534685.0,133453.0
AS_Dima Hasao,81618.0,21458.0
AS_Goalpara,276883.0,51002.0
AS_Golaghat,472946.0,81822.0
AS_Hailakandi,221080.0,42345.0
AS_Hojai,283041.0,66730.0
AS_Jorhat,474291.0,97634.0
AS_Kamrup,568408.0,136501.0
AS_Kamrup Metropolitan,1011704.0,294968.0
AS_Karbi Anglong,145613.0,36308.0
AS_Karimganj,271054.0,58083.0
AS_Kokrajhar,247341.0,49481.0
AS_Lakhimpur,415607.0,67990.0
AS_Majuli,99474.0,27749.0
AS_Morigaon,335529.0,48566.0
AS_Nagaon,585262.0,126587.0
AS_Nalbari,249179.0,49787.0
AS_Sivasagar,336556.0,63249.0
AS_Sonitpur,552272.0,126485.0
AS_South Salmara Mankachar,139804.0,7998.0
AS_Tinsukia,378882.0,79055.0
AS_Udalguri,207894.0,42511.0
AS_West Karbi Anglong,73701.0,12966.0
BR_Araria,545101.0,99455.0
BR_Arwal,206703.0,27705.0
BR_Aurangabad,524109.0,69232.0
BR_Banka,457827.0,74521.0
BR_Begusarai,694273.0,108830.0
BR_Bhagalpur,866257.0,165353.0
BR_Bhojpur,576004.0,97224.0
BR_Buxar,398486.0,72795.0
BR_Darbhanga,938674.0,178629.0
BR_East Champaran,1124629.0,199200.0
BR_Gaya,921305.0,196285.0
BR_Gopalganj,519386.0,79974.0
BR_Jamui,371204.0,57415.0
BR_Jehanabad,275919.0,51903.0
BR_Kaimur,335419.0,44006.0
BR_Katihar,606127.0,86976.0
BR_Khagaria,342841.0,53579.0
BR_Kishanganj,325669.0,48425.0
BR_Lakhisarai,214677.0,32917.0
BR_Madhepura,398870.0,67605.0
BR_Madhubani,916986.0,180976.0
BR_Munger,373850.0,63195.0
BR_Muzaffarpur,1030118.0,186526.0
BR_Nalanda,750717.0,165447.0
BR_Nawada,470290.0,82833.0
BR_Patna,2450857.0,827186.0
BR_Purnia,803233.0,154143.0
BR_Rohtas,653657.0,105602.0
BR_Saharsa,412519.0,74570.0
BR_Samastipur,894858.0,167188.0
BR_Saran,996551.0,206938.0
BR_Sheikhpura,162535.0,29108.0
BR_Sheohar,162928.0,36640.0
BR_Sitamarhi,692054.0,116004.0
BR_Siwan,864305.0,174317.0
BR_Supaul,443568.0,75197.0
BR_Vaishali,743450.0,130737.0
BR_West Champaran,785113.0,93904.0
CH_Chandigarh,717457.0,234115.0
CT_Balod,338297.0,103471.0
CT_Baloda Bazar,341423.0,80719.0
CT_Balrampur,193792.0,39025.0
CT_Bametara,175602.0,42790.0
CT_Bastar,267357.0,67862.0
CT_Bijapur,78956.0,27700.0
CT_Bilaspur,572769.0,188711.0
CT_Dakshin Bastar Dantewada,110740.0,34340.0
CT_Dhamtari,304604.0,87541.0
CT_Durg,606865.0,252175.0
CT_Gariaband,165149.0,37914.0
CT_Gaurela Pendra Marwahi,109361.0,21498.0
CT_Janjgir Champa,449295.0,131096.0
CT_Jashpur,261534.0,65043.0
CT_Kabeerdham,253440.0,61436.0
CT_Kondagaon,168969.0,32161.0
CT_Korba,415654.0,121016.0
CT_Koriya,180871.0,46937.0
CT_Mahasamund,456093.0,138495.0
CT_Mungeli,191691.0,47822.0
CT_Narayanpur,34648.0,11860.0
CT_Raigarh,896172.0,259155.0
CT_Raipur,1140430.0,378334.0
CT_Rajnandgaon,678443.0,166221.0
CT_Sukma,106078.0,32828.0
CT_Surajpur,228665.0,48258.0
CT_Surguja,332932.0,99651.0
CT_Uttar Bastar Kanker,241534.0,70075.0
DL_Central Delhi,802424.0,300073.0
DL_East Delhi,629096.0,227913.0
DL_New Delhi,636172.0,311749.0
DL_North Delhi,646665.0,218750.0
DL_North East Delhi,511413.0,159964.0
DL_North West Delhi,936103.0,375428.0
DL_Shahdara,548189.0,208890.0
DL_South Delhi,892298.0,332320.0
DL_South East Delhi,773330.0,297599.0
DL_South West Delhi,885340.0,352143.0
