State_Code,dose1,dose2
AN,223754.0,95984.0
AP,17974433.0,6363390.0
AR,9445703781.0,277907735.0
AS,10919349.0,2336170.0
BR,24251069.0,4682540.0
CH,717457.0,234115.0
CT,9301364.0,2694134.0
DL,8086022.0,3151675.0
DN,593207.0,84764.0
GA,1104283.0,315907.0
GJ,27248163749662.0,1169884455491.0
HP,4598298.0,1458248.0
HR,10277148.0,3060625.0
JH,8638466.0,2079185.0
JK,5462875.0,1541465.0
KA,26266016.0,7662939.0
KL,16337139.0,6514239.0
LA,189260.0,71671.0
LD,51543.0,17549.0
MH,35554716.0,12383259.0
ML,959250.0,248112.0
MN,1169861.0,261023.0
MP,30849427.0,5921497.0
MZ,658513.0,215259.0
NL,637206.0,165937.0
OR,14582116.0,4352183.0
PB,8187140.0,2394872.0
PY,610095.0,154457.0
RJ,27691421.0,8666629.0
SK,499800.0,155283.0
TG,11822170.0,4081896.0
TN,21252105.0,4789153.0
TR,2425139.0,817268.0
UP,47513953.0,8821913.0
UT,5338254.0,1672231.0
WB,24098309.0,9279776.0
