State_Code,weekid,dose1,dose2
AN,0,209737.0,91630.0
AN,1,-209714.0,-91630.0
AN,2,897.0,0.0
AN,3,1140.0,0.0
AN,4,108263.0,15191.0
AN,5,100255.0,76957.0
AN,6,-205871.0,-91202.0
AN,7,1322.0,1014.0
AN,8,104972.0,13239.0
AN,9,100560.0,77382.0
AN,10,-198312.0,-88970.0
AN,11,1956.0,1469.0
AN,12,342.0,77.0
AN,13,197024.0,88001.0
AN,14,-145120.0,-86590.0
AN,15,19345.0,2729.0
AN,16,6697.0,1584.0
AN,17,119964.0,82676.0
AN,18,-113399.0,-78427.0
AN,19,3547.0,26.0
AN,20,4712.0,10.0
AN,21,770.0,15.0
AN,22,105246.0,78663.0
AN,23,-93131.0,-78338.0
AN,24,22127.0,795.0
AN,25,13141.0,3522.0
AN,26,58551.0,74426.0
AN,27,-34348.0,-17051.0
AN,28,12045.0,9279.0
AN,29,14701.0,5073.0
AN,30,-44135.0,-46240.0
AN,31,69425.0,51977.0
AN,32,5801.0,2868.0
AN,33,15683.0,4664.0
AN,34,3259.0,982.0
AN,35,-41406.0,-11204.0
AN,36,-216046.0,-94597.0
AN,37,0.0,0.0
AN,38,2796.0,0.0
AN,39,214142.0,95049.0
AN,40,-216938.0,-95049.0
AN,41,0.0,0.0
AN,42,0.0,0.0
AN,43,114850.0,15323.0
AN,44,104466.0,80171.0
AN,47,-182744.0,-89781.0
AN,48,187182.0,90271.0
AP,0,16301072.0,5586138.0
AP,1,-16296856.0,-5586138.0
AP,2,66164.0,0.0
AP,3,63191.0,0.0
AP,4,7562507.0,2547764.0
AP,5,8871622.0,3183469.0
AP,6,-16153882.0,-5643763.0
AP,7,122137.0,50342.0
AP,8,7251014.0,2416520.0
AP,9,8889182.0,3245656.0
AP,10,-15381650.0,-5500759.0
AP,11,667934.0,73728.0
AP,12,240001.0,23303.0
AP,13,14583810.0,5467754.0
AP,14,-12776263.0,-5266094.0
AP,15,533335.0,528629.0
AP,16,568693.0,340474.0
AP,17,11777189.0,4466111.0
AP,18,-11404137.0,-3765921.0
AP,19,79300.0,180783.0
AP,20,1710372.0,133539.0
AP,21,81689.0,30789.0
AP,22,9963128.0,3558427.0
AP,23,-7468594.0,-3418473.0
AP,24,2069989.0,254321.0
AP,25,666405.0,209403.0
AP,26,4889771.0,3024094.0
AP,27,-2969376.0,-2022115.0
AP,28,402582.0,537279.0
AP,29,1186472.0,917332.0
AP,30,-2749382.0,-2204100.0
AP,31,5168722.0,3116720.0
AP,32,881569.0,493572.0
AP,33,1370561.0,1002745.0
AP,34,1212850.0,608174.0
AP,35,-4352538.0,-2375391.0
AP,36,-17628583.0,-6214312.0
AP,37,0.0,0.0
AP,38,286401.0,0.0
AP,39,17515379.0,6296468.0
AP,40,-17801780.0,-6296468.0
AP,41,0.0,0.0
AP,42,0.0,0.0
AP,43,9085932.0,2610437.0
AP,44,8808429.0,3728078.0
AP,47,-14513938.0,-5805269.0
AP,48,14594010.0,5830144.0
AR,0,9187280813.0,248100011.0
AR,1,-9187280588.0,-248100011.0
AR,2,13804.0,0.0
AR,3,406048.0,0.0
AR,4,4140103367.0,76470824.0
AR,5,5063660451.0,172940867.0
AR,6,-9182036090.0,-249052826.0
AR,7,2955590.0,125619.0
