Stateid,vaccinationratio,populationratio,ratioofratios
DN,0.4972214975215236,0.7059649306372998,0.7043147271815102
NL,0.7523847773701235,0.9309070715923209,0.8082275882630968
JK,0.7455523824517059,0.8919171561092959,0.8358986900800746
UP,0.778025997841778,0.9124365013149343,0.8526905672017131
AR,0.8042068738444393,0.9390089894545157,0.8564421457899088
DL,0.7441001803131232,0.8679572767250237,0.8573004688903144
JH,0.8223346310118775,0.9484654597389357,0.8670158966444855
LD,0.8319943102494534,0.9464722398333484,0.8790477683697814
MN,0.8669173936818035,0.9851395745544583,0.879994486135508
GA,0.8596636196403641,0.9733000514110994,0.8832462490821981
PB,0.7944408889108464,0.8951060028491479,0.8875383321998942
GJ,0.8255059882378808,0.9192528974705998,0.8980183696013672
MH,0.8441796315317108,0.9294031034360559,0.9083030048110781
MP,0.849083273532351,0.9309320997228939,0.9120786293491153
HR,0.8032840980600716,0.8786188745921186,0.9142577302735276
OR,0.8973625497907078,0.9787831833625807,0.9168144335171813
ML,0.9099303654500563,0.9887554362689632,0.920278495644635
CH,0.7546896226228866,0.8176636017793454,0.9229830225786999
AS,0.8957232319358874,0.9577582478885868,0.9352289410303093
SK,0.8328783514908655,0.8899216887980933,0.9359007224733795
WB,0.8909688152533892,0.9499682187369543,0.9378932870385825
TG,0.928311289504233,0.987902335269874,0.9396792135840412
BR,0.8729205751333025,0.9178884795222505,0.9510094032203636
RJ,0.904200622324948,0.9281720003520576,0.9741735604844607
TN,0.9778929139177158,0.9964325615920648,0.9813939764827365
UT,0.9537175300456313,0.9631641958490575,0.9901920504892744
TR,0.9507338376957786,0.9600747128644412,0.9902706788924858
CT,0.9864850605863056,0.9906370728881841,0.9958087452857246
KL,1.0862531101289639,1.0843078720382304,1.0017939905638396
AN,0.8810159055926116,0.8759753735132177,1.005754193818461
MZ,0.9819813106061632,0.975740943819901,1.0063955159674165
PY,1.0531766617374936,1.037437694996498,1.0151709994893223
KA,0.9901060440486403,0.9729380862777665,1.01764547817894
HP,0.9973037075952007,0.9715256702355313,1.0265335627759788
LA,0.7717062430775049,0.749783102401184,1.029239310149978
AP,1.191942444125399,0.9963886832229583,1.1962625270591138
