Stateid,vaccineratio
DL,3.2919372915336425
TG,3.9023807177645824
JH,5.095742336948367
AP,5.129828417390091
TN,5.409607198178109
HR,6.005764886006828
PB,6.492291244368244
KA,6.515258971838102
MH,6.532905490584453
OR,6.60186895755626
WB,6.663170202615649
AS,6.84842414110572
RJ,6.991658945835994
CT,6.991971726054928
UP,7.59291647893365
MP,7.727368042944011
BR,7.8442210522377795
KL,9.027857491328223
GJ,9.258412133252492
UT,12.731979218387655
JK,26.31155848290836
TR,29.750947993603898
GA,51.16299081640032
CH,214.97393992932862
HP,1947.0027132951461
PY,10451.891891891892
DN,14654.340425531915
SK,inf
AN,inf
MZ,inf
MN,inf
ML,inf
LD,inf
AR,inf
NL,inf
LA,inf
