Stateid,vaccinateddose1ratio,vaccinateddose2ratio
UP,0.23378991891196552,0.04444933659027597
BR,0.24176282887637102,0.04667908338268678
ML,0.25967031459552414,0.07123657137156125
WB,0.26296906918091334,0.09972606743834353
JH,0.2666995653649279,0.06471814986564563
CT,0.2674932038952455,0.08302938848841049
TN,0.27530484622859736,0.06241791242134292
PB,0.2859796467173489,0.08587733747107143
MH,0.31840946277296256,0.11210037615974103
NL,0.3231631810329229,0.08488240092757046
AS,0.328715739776763,0.07182799638115957
TG,0.33774965705780685,0.11610116935346156
MN,0.34180686702192103,0.07911845182110475
OR,0.35759229629959993,0.10661125360334289
AP,0.37492085688728277,0.1313146859345956
AR,0.4014609045570947,0.11650019662388432
HR,0.40172326156179866,0.12240473547442747
TR,0.4032167847014508,0.14640396067739145
DL,0.41107524740526546,0.1629708491351024
RJ,0.41622804616245296,0.13105417706314734
MP,0.43230888747982854,0.08340739574555726
KA,0.4364056041825936,0.12828141256110107
GJ,0.4497070236559114,0.14260464795220995
JK,0.45212530548390223,0.12826529164027134
PY,0.49383109780576673,0.1259951296242727
KL,0.5173220212942795,0.19929955225789714
UT,0.5448837888096042,0.17077177618891065
MZ,0.6016272240581987,0.1984048574287782
AN,0.6114572193567204,0.2556275799369911
LA,0.6910047431723474,0.2655046319757628
CH,0.695039082855654,0.23151357240987255
HP,0.7212055411224132,0.2205073214732624
GA,0.7629624043138882,0.22619048435255684
LD,0.8015448327206738,0.2772478401811611
SK,0.820255266739494,0.25884040833506666
DN,1.0194631284116698,0.1540507295265744
